id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,season,title,us_viewers_in_millions,views,weekday_num,weekday_name,year,month,trend_slope,viewers_type
239,6.6,822.0,13,239,2000-02-06,2000,11,Saddlesore Galactica,9.6,41259.0,6,Sunday,2000,2,0.011501976284584858,Household Viewers (Millions)
248,7.9,955.0,22,248,2000-05-21,2000,11,Behind the Laughter,8.3,74046.0,6,Sunday,2000,5,0.011501976284584858,Household Viewers (Millions)
255,7.3,766.0,7,255,2000-12-10,2000,12,The Great Money Caper,16.8,49325.0,6,Sunday,2000,12,-0.07090909090909082,Individual Viewers (Millions)
241,7.3,777.0,15,241,2000-02-20,2000,11,Missionary: Impossible,9.8,50427.0,6,Sunday,2000,2,0.011501976284584858,Household Viewers (Millions)
244,7.4,724.0,18,244,2000-04-09,2000,11,Days of Wine and D'oh'ses,8.3,48786.0,6,Sunday,2000,4,0.011501976284584858,Household Viewers (Millions)
148,8.6,1110.0,20,148,1996-03-31,1996,7,Bart on the Road,11.8,70913.0,6,Sunday,1996,3,-0.17453846153846134,Household Viewers (Millions)
264,6.5,691.0,16,264,2001-03-11,2001,12,"Bye, Bye, Nerdie",16.1,45718.0,6,Sunday,2001,3,-0.07090909090909082,Individual Viewers (Millions)
267,7.3,721.0,19,267,2001-05-06,2001,12,I'm Goin' to Praiseland,13.1,49321.0,6,Sunday,2001,5,-0.07090909090909082,Individual Viewers (Millions)
269,7.0,688.0,21,269,2001-05-20,2001,12,Simpsons Tall Tales,13.4,56698.0,6,Sunday,2001,5,-0.07090909090909082,Individual Viewers (Millions)
287,7.7,704.0,18,287,2002-04-28,2002,13,I Am Furious (Yellow),12.4,69650.0,6,Sunday,2002,4,-0.1593450028232637,Individual Viewers (Millions)
288,6.9,598.0,19,288,2002-05-05,2002,13,The Sweetest Apu,11.8,47193.0,6,Sunday,2002,5,-0.1593450028232637,Individual Viewers (Millions)
316,7.0,631.0,3,316,2003-11-16,2003,15,The President Wore Pearls,12.7,37456.0,6,Sunday,2003,11,-0.2494184076792774,Individual Viewers (Millions)
271,7.1,674.0,2,271,2001-11-11,2001,13,The Parent Rap,14.9,47251.0,6,Sunday,2001,11,-0.1593450028232637,Individual Viewers (Millions)
285,7.7,765.0,16,285,2002-04-07,2002,13,Weekend at Burnsie's,12.5,54539.0,6,Sunday,2002,4,-0.1593450028232637,Individual Viewers (Millions)
295,7.1,704.0,4,295,2002-11-24,2002,14,Large Marge,17.4,55369.0,6,Sunday,2002,11,-0.1770412196499154,Individual Viewers (Millions)
280,7.1,621.0,11,280,2002-02-17,2002,13,The Bart Wants What It Wants,11.2,45176.0,6,Sunday,2002,2,-0.1593450028232637,Individual Viewers (Millions)
305,6.9,577.0,14,305,2003-03-09,2003,14,Mr. Spritz Goes to Washington,14.4,44837.0,6,Sunday,2003,3,-0.1770412196499154,Individual Viewers (Millions)
273,7.2,651.0,4,273,2001-12-02,2001,13,A Hunka Hunka Burns in Love,13.4,37376.0,6,Sunday,2001,12,-0.1593450028232637,Individual Viewers (Millions)
293,7.3,713.0,2,293,2002-11-10,2002,14,How I Spent My Strummer Vacation,12.5,35578.0,6,Sunday,2002,11,-0.1770412196499154,Individual Viewers (Millions)
275,7.1,692.0,6,275,2001-12-16,2001,13,She of Little Faith,13.2,45824.0,6,Sunday,2001,12,-0.1593450028232637,Individual Viewers (Millions)
296,6.8,633.0,5,296,2002-12-01,2002,14,Helter Shelter,15.1,42907.0,6,Sunday,2002,12,-0.1770412196499154,Individual Viewers (Millions)
283,7.3,630.0,14,283,2002-03-17,2002,13,Tales from the Public Domain,11.7,50301.0,6,Sunday,2002,3,-0.1593450028232637,Individual Viewers (Millions)
300,6.9,644.0,9,300,2003-02-02,2003,14,The Strong Arms of the Ma,15.4,51877.0,6,Sunday,2003,2,-0.1770412196499154,Individual Viewers (Millions)
276,6.9,649.0,7,276,2002-01-06,2002,13,Brawl in the Family,11.8,45684.0,6,Sunday,2002,1,-0.1593450028232637,Individual Viewers (Millions)
278,7.3,642.0,9,278,2002-01-27,2002,13,Jaws Wired Shut,14.2,49429.0,6,Sunday,2002,1,-0.1593450028232637,Individual Viewers (Millions)
289,7.2,613.0,20,289,2002-05-12,2002,13,Little Girl in the Big Ten,11.2,46466.0,6,Sunday,2002,5,-0.1593450028232637,Individual Viewers (Millions)
310,6.8,574.0,19,310,2003-05-04,2003,14,Old Yeller-Belly,11.59,43223.0,6,Sunday,2003,5,-0.1770412196499154,Individual Viewers (Millions)
298,7.1,593.0,7,298,2003-01-05,2003,14,Special Edna,15.0,40867.0,6,Sunday,2003,1,-0.1770412196499154,Individual Viewers (Millions)
302,6.6,650.0,11,302,2003-02-16,2003,14,Barting Over,21.3,47276.0,6,Sunday,2003,2,-0.1770412196499154,Individual Viewers (Millions)
309,7.0,651.0,18,309,2003-04-27,2003,14,"Dude, Where's My Ranch?",11.71,49000.0,6,Sunday,2003,4,-0.1770412196499154,Individual Viewers (Millions)
312,6.6,575.0,21,312,2003-05-18,2003,14,The Bart of War,12.1,50464.0,6,Sunday,2003,5,-0.1770412196499154,Individual Viewers (Millions)
314,7.4,738.0,1,314,2003-11-02,2003,15,Treehouse of Horror XIV,16.22,68381.0,6,Sunday,2003,11,-0.2494184076792774,Individual Viewers (Millions)
165,8.6,1137.0,12,165,1997-02-02,1997,8,Mountain of Madness,9.1,60763.0,6,Sunday,1997,2,-0.09198899250879057,Household Viewers (Millions)
319,6.6,576.0,6,319,2003-12-07,2003,15,Today I Am a Clown,10.5,37890.0,6,Sunday,2003,12,-0.2494184076792774,Individual Viewers (Millions)
321,6.7,589.0,8,321,2004-01-04,2004,15,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",12.0,50276.0,6,Sunday,2004,1,-0.2494184076792774,Individual Viewers (Millions)
323,7.3,596.0,10,323,2004-01-25,2004,15,Diatribe of a Mad Housewife,10.6,45062.0,6,Sunday,2004,1,-0.2494184076792774,Individual Viewers (Millions)
337,7.0,566.0,2,337,2004-11-14,2004,16,All's Fair in Oven War,11.64,41064.0,6,Sunday,2004,11,-0.11907792207792203,Individual Viewers (Millions)
334,6.2,593.0,21,334,2004-05-16,2004,15,Bart-Mangled Banner,8.7,56275.0,6,Sunday,2004,5,-0.2494184076792774,Individual Viewers (Millions)
353,6.8,554.0,18,353,2005-05-08,2005,16,A Star Is Torn,8.72,44500.0,6,Sunday,2005,5,-0.11907792207792203,Individual Viewers (Millions)
362,6.9,543.0,6,362,2005-11-20,2005,17,See Homer Run,10.3,40306.0,6,Sunday,2005,11,-0.15907961603613796,Individual Viewers (Millions)
325,7.3,583.0,12,325,2004-02-15,2004,15,Milhouse Doesn't Live Here Anymore,9.4,46792.0,6,Sunday,2004,2,-0.2494184076792774,Individual Viewers (Millions)
327,6.9,568.0,14,327,2004-03-14,2004,15,The Ziff Who Came to Dinner,10.7,43747.0,6,Sunday,2004,3,-0.2494184076792774,Individual Viewers (Millions)
343,6.4,582.0,8,343,2005-02-06,2005,16,Homer and Ned's Hail Mary Pass,23.07,43356.0,6,Sunday,2005,2,-0.11907792207792203,Individual Viewers (Millions)
358,6.9,585.0,2,358,2005-09-18,2005,17,The Girl Who Slept Too Little,9.79,35717.0,6,Sunday,2005,9,-0.15907961603613796,Individual Viewers (Millions)
329,6.9,599.0,16,329,2004-03-28,2004,15,The Wandering Juvie,10.5,44539.0,6,Sunday,2004,3,-0.2494184076792774,Individual Viewers (Millions)
359,7.0,558.0,3,359,2005-09-25,2005,17,Milhouse of Sand and Fog,10.19,35779.0,6,Sunday,2005,9,-0.15907961603613796,Individual Viewers (Millions)
360,7.3,646.0,4,360,2005-11-06,2005,17,Treehouse of Horror XVI,11.63,74401.0,6,Sunday,2005,11,-0.15907961603613796,Individual Viewers (Millions)
366,6.7,554.0,10,366,2006-01-08,2006,17,Homer's Paternity Coot,10.1,39552.0,6,Sunday,2006,1,-0.15907961603613796,Individual Viewers (Millions)
339,6.6,562.0,4,339,2004-12-05,2004,16,She Used to Be My Girl,10.81,38908.0,6,Sunday,2004,12,-0.11907792207792203,Individual Viewers (Millions)
330,6.7,560.0,17,330,2004-04-18,2004,15,My Big Fat Geek Wedding,9.2,42440.0,6,Sunday,2004,4,-0.2494184076792774,Individual Viewers (Millions)
350,7.3,615.0,15,350,2005-04-17,2005,16,Future-Drama,8.31,53146.0,6,Sunday,2005,4,-0.11907792207792203,Individual Viewers (Millions)
364,7.0,706.0,8,364,2005-12-11,2005,17,The Italian Bob,10.39,45513.0,6,Sunday,2005,12,-0.15907961603613796,Individual Viewers (Millions)
332,7.3,600.0,19,332,2004-05-02,2004,15,Simple Simpson,9.5,46273.0,6,Sunday,2004,5,-0.2494184076792774,Individual Viewers (Millions)
367,7.0,535.0,11,367,2006-01-29,2006,17,We're on the Road to D'ohwhere,9.04,43599.0,6,Sunday,2006,1,-0.15907961603613796,Individual Viewers (Millions)
346,6.9,572.0,11,346,2005-03-06,2005,16,On a Clear Day I Can't See My Sister,10.39,46309.0,6,Sunday,2005,3,-0.11907792207792203,Individual Viewers (Millions)
355,7.1,546.0,20,355,2005-05-15,2005,16,Home Away from Homer,8.17,44606.0,6,Sunday,2005,5,-0.11907792207792203,Individual Viewers (Millions)
336,7.4,666.0,1,336,2004-11-07,2004,16,Treehouse of Horror XV,11.29,72271.0,6,Sunday,2004,11,-0.11907792207792203,Individual Viewers (Millions)
341,7.3,554.0,6,341,2005-01-16,2005,16,Midnight Rx,8.11,43118.0,6,Sunday,2005,1,-0.11907792207792203,Individual Viewers (Millions)
344,6.8,607.0,9,344,2005-02-13,2005,16,Pranksta Rap,8.01,42759.0,6,Sunday,2005,2,-0.11907792207792203,Individual Viewers (Millions)
194,7.6,887.0,16,194,1998-03-01,1998,9,Dumbbell Indemnity,10.3,21214.0,6,Sunday,1998,3,-0.15323076923076925,Household Viewers (Millions)
375,7.2,582.0,19,375,2006-04-30,2006,17,Girls Just Want to Have Sums,8.7,45267.0,6,Sunday,2006,4,-0.15907961603613796,Individual Viewers (Millions)
377,7.1,596.0,21,377,2006-05-14,2006,17,The Monkey Suit,8.3,48419.0,6,Sunday,2006,5,-0.15907961603613796,Individual Viewers (Millions)
396,6.3,585.0,18,396,2007-04-29,2007,18,The Boys of Bummer,7.57,44770.0,6,Sunday,2007,4,-0.1371146245059288,Individual Viewers (Millions)
405,7.1,687.0,5,405,2007-11-04,2007,19,Treehouse of Horror XVIII,11.7,69957.0,6,Sunday,2007,11,-0.1985338345864664,Individual Viewers (Millions)
393,6.3,606.0,15,393,2007-03-11,2007,18,Rome-Old and Juli-Eh,8.98,41751.0,6,Sunday,2007,3,-0.1371146245059288,Individual Viewers (Millions)
416,6.1,585.0,16,416,2008-04-13,2008,19,Papa Don't Leech,6.9,39238.0,6,Sunday,2008,4,-0.1985338345864664,Individual Viewers (Millions)
378,6.6,587.0,22,378,2006-05-21,2006,17,Marge and Homer Turn a Couple Play,8.23,42778.0,6,Sunday,2006,5,-0.15907961603613796,Individual Viewers (Millions)
388,6.6,615.0,10,388,2007-01-07,2007,18,The Wife Aquatic,13.9,41312.0,6,Sunday,2007,1,-0.1371146245059288,Individual Viewers (Millions)
423,7.0,638.0,3,423,2008-10-19,2008,20,"Double, Double, Boy in Trouble",8.09,45781.0,6,Sunday,2008,10,-0.17758441558441557,Individual Viewers (Millions)
382,7.1,723.0,4,382,2006-11-05,2006,18,Treehouse of Horror XVII,10.43,68799.0,6,Sunday,2006,11,-0.1371146245059288,Individual Viewers (Millions)
411,6.3,1069.0,11,411,2008-01-27,2008,19,That '90s Show,7.6,43485.0,6,Sunday,2008,1,-0.1985338345864664,Individual Viewers (Millions)
428,6.6,615.0,8,428,2008-12-07,2008,20,The Burns and the Bees,6.19,38247.0,6,Sunday,2008,12,-0.17758441558441557,Individual Viewers (Millions)
384,6.8,605.0,6,384,2006-11-19,2006,18,Moe'N'a Lisa,9.31,37177.0,6,Sunday,2006,11,-0.1371146245059288,Individual Viewers (Millions)
386,7.2,578.0,8,386,2006-12-10,2006,18,The Haw-Hawed Couple,8.29,41161.0,6,Sunday,2006,12,-0.1371146245059288,Individual Viewers (Millions)
407,7.1,762.0,7,407,2007-11-18,2007,19,Husbands and Knives,10.5,44445.0,6,Sunday,2007,11,-0.1985338345864664,Individual Viewers (Millions)
420,6.4,538.0,20,420,2008-05-18,2008,19,All About Lisa,6.11,44616.0,6,Sunday,2008,5,-0.1985338345864664,Individual Viewers (Millions)
